-0.01 	0.17 	0.19 
-0.01 	0.47 	0.49 
-0.03 	0.77 	0.42 
-0.06 	1.07 	0.23 
-0.07 	1.37 	0.38 
-0.09 	1.66 	0.60 
-0.11 	1.95 	0.71 
-0.12 	2.25 	0.65 
-0.15 	2.55 	0.56 
-0.15 	2.85 	0.62 
-0.17 	3.14 	0.81 
-0.19 	3.42 	0.97 
-0.20 	3.71 	1.05 
-0.22 	4.01 	1.08 
-0.23 	4.31 	1.10 
-0.25 	4.60 	1.12 
-0.28 	4.90 	1.17 
-0.30 	5.19 	1.27 
-0.32 	5.48 	1.37 
-0.34 	5.77 	1.43 
-0.35 	6.06 	1.48 
-0.36 	6.35 	1.54 
-0.37 	6.63 	1.60 
-0.40 	6.92 	1.65 
-0.41 	7.21 	1.71 
-0.39 	7.49 	1.81 
-0.45 	7.77 	1.86 
-0.46 	8.06 	1.93 
-0.44 	8.34 	2.01 
-0.42 	8.63 	2.11 
-0.47 	8.91 	2.15 
-0.54 	9.20 	2.18 
-0.54 	9.48 	2.27 
-0.52 	9.77 	2.36 
-0.55 	10.05 	2.41 
-0.56 	10.34 	2.48 
-0.58 	10.62 	2.54 
-0.61 	10.91 	2.60 
-0.60 	11.20 	2.66 
-0.67 	11.48 	2.67 
-0.70 	11.76 	2.70 
-0.68 	12.04 	2.78 
-0.67 	12.32 	2.88 
-0.73 	12.60 	2.91 
-0.68 	12.87 	3.04 
-0.75 	13.15 	3.07 
-0.74 	13.43 	3.15 
-0.77 	13.71 	3.19 
-0.79 	13.99 	3.24 
-0.76 	14.27 	3.34 
-0.79 	14.54 	3.42 
-0.79 	14.83 	3.46 
-0.82 	15.11 	3.52 
-0.83 	15.38 	3.60 
-0.83 	17.53 	4.32 
-1.04 	19.69 	4.82 
-1.19 	21.82 	5.32 
-1.09 	23.95 	5.76 
-1.29 	26.02 	6.35 
-1.37 	28.13 	6.62 
-1.36 	30.18 	7.11 
-1.40 	32.20 	7.62 
-1.44 	34.19 	8.19 
-1.50 	36.18 	8.65 
-1.67 	38.16 	9.05 
-1.61 	40.12 	9.54 
-1.59 	42.04 	10.06 
-1.81 	43.93 	10.59 
-1.69 	45.83 	11.06 
-1.55 	47.72 	11.49 
-1.63 	49.56 	12.02 
-1.62 	51.36 	12.69 
-1.55 	53.18 	13.14 
-1.69 	55.00 	13.55 
-1.71 	56.78 	14.02 
-1.85 	58.57 	14.38 
-2.03 	60.30 	14.92 
-1.98 	62.04 	15.36 
-1.79 	63.75 	15.88 
-1.72 	65.45 	16.36 
-1.79 	67.15 	16.72 
-1.80 	68.79 	17.32 
-1.87 	70.51 	17.49 
-1.72 	72.07 	18.27 
-1.84 	73.75 	18.47 
-1.92 	75.35 	18.92 
-2.34 	77.03 	18.96 
-2.17 	78.75 	18.76 
-2.07 	80.30 	19.26 
-2.39 	81.74 	20.19 
-1.97 	83.20 	20.96 
-1.50 	84.71 	21.46 
-2.23 	86.31 	21.43 
-1.99 	87.74 	22.16 
-1.45 	89.27 	22.42 
-1.70 	90.73 	22.89 
-2.34 	92.22 	23.11 
-2.12 	93.72 	23.33 
-1.53 	95.11 	23.98 
-2.27 	96.53 	24.35 
-1.44 	97.82 	25.30 
-1.78 	99.23 	25.58 
-0.93 	100.62 	26.03 
-1.63 	102.16 	25.69 
-1.85 	103.66 	25.43 
-1.53 	105.09 	25.49 
-2.42 	106.46 	25.65 
-2.87 	107.64 	26.63 
-1.64 	108.93 	27.22 
-1.46 	110.24 	27.57 
-0.79 	111.63 	27.56 
-0.62 	112.78 	28.47 
0.17 	113.85 	29.64 
-0.93 	115.28 	29.29 
-0.42 	116.51 	29.74 
-0.15 	117.94 	29.30 
0.16 	119.33 	28.97 
-1.07 	120.39 	29.97 
-1.38 	121.94 	28.78 
0.01 	122.64 	31.33 
0.18 	123.99 	31.00 
-0.77 	125.57 	29.60 
-1.18 	126.72 	30.02 
-0.94 	127.61 	31.50 
0.19 	128.81 	31.63 
0.28 	130.03 	31.66 
1.51 	130.98 	32.70 
-1.60 	132.50 	31.28 
2.02 	140.14 	33.50 
-0.09 	141.68 	31.63 
-0.69 	142.69 	32.09 
1.52 	143.44 	33.73 
2.42 	144.43 	34.13 
1.66 	145.46 	34.45 
1.07 	146.66 	33.94 
1.35 	147.48 	35.04 
0.90 	148.36 	35.82 
0.33 	149.74 	34.43 
-0.17 	150.82 	34.27 
3.14 	151.65 	35.07 
1.77 	152.78 	34.70 
1.90 	153.86 	34.47 
1.94 	154.27 	37.16 
1.94 	155.94 	34.20 
2.65 	156.71 	35.23 
2.26 	157.57 	35.87 
1.33 	158.51 	36.12 
2.31 	159.70 	35.09 
1.89 	160.74 	34.78 
2.14 	161.31 	36.65 
2.74 	162.37 	36.13 
0.85 	163.74 	34.20 
3.30 	164.32 	35.87 
3.34 	165.34 	35.47 
3.37 	166.28 	35.40 
3.33 	166.99 	36.48 
4.71 	168.43 	33.73 
4.24 	169.24 	38.71 
4.62 	170.50 	37.05 
2.62 	171.79 	35.29 
3.60 	172.52 	36.02 
6.43 	172.98 	37.75 
6.16 	173.18 	40.92 
5.25 	174.69 	38.21 
2.73 	176.02 	36.24 
4.70 	176.78 	36.59 
5.38 	177.74 	36.05 
4.84 	178.65 	35.89 
2.83 	179.64 	35.39 
3.85 	180.58 	34.83 
6.25 	181.00 	36.73 
7.13 	181.17 	39.85 
6.49 	183.07 	34.66 
4.15 	183.97 	34.59 
6.15 	184.74 	34.65 
6.87 	184.97 	37.67 
3.38 	186.52 	34.23 
5.26 	187.27 	34.35 
4.97 	187.74 	36.33 
6.87 	188.66 	35.39 
4.89 	189.69 	34.47 
4.24 	190.83 	32.59 
8.84 	190.95 	35.67 
7.41 	192.72 	30.13 
7.88 	193.01 	33.18 
5.92 	193.61 	34.64 
8.83 	194.78 	31.71 
9.56 	195.42 	32.38 
7.96 	195.74 	35.54 
8.09 	196.92 	33.12 
9.43 	197.76 	32.38 
4.87 	198.15 	35.58 
11.71 	198.72 	35.15 
10.98 	199.99 	32.29 
